model,family,branch,capped,cost,feature_set,precision,recall,f1,accuracy,auc,num_features
internvl_2_5_8b,vp_risk_raw,risk_visual_prompt_relative_vll,0,sbar,risk_visual_prompt_relative_vll_cost_sbar,0.9129129129129129,0.977491961414791,0.9440993788819876,0.9027027027027027,0.9200228895307646,32
internvl_2_5_8b,vp_risk_cap085,risk_visual_prompt_relative_vll,1,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085,0.9380804953560371,0.9742765273311897,0.9558359621451105,0.9243243243243243,0.9213853616000871,32
internvl_2_5_8b,vp_risk_cap085,risk_visual_prompt_relative_vll,1,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085,0.9263803680981595,0.9710610932475884,0.9481946624803768,0.9108108108108108,0.9284157174777917,32
internvl_2_5_8b,vp_risk_cap085,risk_visual_prompt_relative_vll,1,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085,0.9074626865671642,0.977491961414791,0.9411764705882353,0.8972972972972973,0.9255272766908279,32
internvl_2_5_8b,visual_combo_raw,risk_relative_vll,0,geo,risk_relative_vll_cost_geo+target_visual_hidden_cosine_relative_vll,0.94375,0.9710610932475884,0.9572107765451664,0.927027027027027,0.9589895907133904,64
internvl_2_5_8b,visual_combo_raw,risk_relative_vll,0,tbar,risk_relative_vll_cost_tbar+target_visual_hidden_cosine_relative_vll,0.9404388714733543,0.9646302250803859,0.9523809523809523,0.918918918918919,0.946836339855033,64
internvl_2_5_8b,visual_combo_raw,risk_relative_vll,0,sbar,risk_relative_vll_cost_sbar+target_visual_hidden_cosine_relative_vll,0.9465408805031447,0.9678456591639871,0.9570747217806042,0.927027027027027,0.9410594582811053,64
internvl_2_5_8b,visual_combo_cap085,risk_relative_vll,1,geo,risk_relative_vll_cost_geo_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,0.940625,0.9678456591639871,0.9540412044374009,0.9216216216216216,0.9532672080222354,64
internvl_2_5_8b,visual_combo_cap085,risk_relative_vll,1,tbar,risk_relative_vll_cost_tbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,0.9292307692307692,0.9710610932475884,0.949685534591195,0.9135135135135135,0.9509237560630007,64
internvl_2_5_8b,visual_combo_cap085,risk_relative_vll,1,sbar,risk_relative_vll_cost_sbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,0.9259259259259259,0.9646302250803859,0.9448818897637795,0.9054054054054054,0.9463458499100768,64
internvl_2_5_8b,vp_combo_raw,risk_visual_prompt_relative_vll,0,geo,risk_visual_prompt_relative_vll_cost_geo+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,0.946875,0.9742765273311897,0.9603803486529319,0.9324324324324325,0.9591530873617091,64
internvl_2_5_8b,vp_combo_raw,risk_visual_prompt_relative_vll,0,tbar,risk_visual_prompt_relative_vll_cost_tbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,0.9463722397476341,0.9646302250803859,0.9554140127388535,0.9243243243243243,0.959752575072211,64
internvl_2_5_8b,vp_combo_raw,risk_visual_prompt_relative_vll,0,sbar,risk_visual_prompt_relative_vll_cost_sbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,0.9320987654320988,0.9710610932475884,0.9511811023622048,0.9162162162162162,0.9461823532617583,64
internvl_2_5_8b,vp_combo_cap085,risk_visual_prompt_relative_vll,1,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,0.9528301886792453,0.9742765273311897,0.9634340222575517,0.9378378378378378,0.9468908387378059,64
internvl_2_5_8b,vp_combo_cap085,risk_visual_prompt_relative_vll,1,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,0.9404388714733543,0.9646302250803859,0.9523809523809523,0.918918918918919,0.9525587225461878,64
internvl_2_5_8b,vp_combo_cap085,risk_visual_prompt_relative_vll,1,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,0.94375,0.9710610932475884,0.9572107765451664,0.927027027027027,0.9398059839773284,64
llava_1_5_7b,visual_risk_raw,risk_relative_vll,0,geo,risk_relative_vll_cost_geo,0.7162162162162162,0.7794117647058824,0.7464788732394366,0.7482517482517482,0.8176470588235294,32
llava_1_5_7b,visual_risk_raw,risk_relative_vll,0,tbar,risk_relative_vll_cost_tbar,0.704225352112676,0.7352941176470589,0.7194244604316546,0.7272727272727273,0.8154901960784314,32
llava_1_5_7b,visual_risk_raw,risk_relative_vll,0,sbar,risk_relative_vll_cost_sbar,0.6986301369863014,0.75,0.723404255319149,0.7272727272727273,0.7919607843137255,32
llava_1_5_7b,visual_risk_cap085,risk_relative_vll,1,geo,risk_relative_vll_cost_geo_capped_topmass_085,0.68,0.75,0.7132867132867133,0.7132867132867133,0.7705882352941175,32
llava_1_5_7b,visual_risk_cap085,risk_relative_vll,1,tbar,risk_relative_vll_cost_tbar_capped_topmass_085,0.7066666666666667,0.7794117647058824,0.7412587412587412,0.7412587412587412,0.8194117647058823,32
llava_1_5_7b,visual_risk_cap085,risk_relative_vll,1,sbar,risk_relative_vll_cost_sbar_capped_topmass_085,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.6923076923076923,0.8064705882352942,32
llava_1_5_7b,vp_risk_raw,risk_visual_prompt_relative_vll,0,geo,risk_visual_prompt_relative_vll_cost_geo,0.7272727272727273,0.7058823529411765,0.7164179104477612,0.7342657342657343,0.775686274509804,32
llava_1_5_7b,vp_risk_raw,risk_visual_prompt_relative_vll,0,tbar,risk_visual_prompt_relative_vll_cost_tbar,0.7272727272727273,0.7058823529411765,0.7164179104477612,0.7342657342657343,0.7903921568627451,32
llava_1_5_7b,vp_risk_raw,risk_visual_prompt_relative_vll,0,sbar,risk_visual_prompt_relative_vll_cost_sbar,0.6818181818181818,0.6617647058823529,0.6716417910447762,0.6923076923076923,0.7947058823529412,32
llava_1_5_7b,vp_risk_cap085,risk_visual_prompt_relative_vll,1,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085,0.6710526315789473,0.75,0.7083333333333334,0.7062937062937062,0.7954901960784314,32
llava_1_5_7b,vp_risk_cap085,risk_visual_prompt_relative_vll,1,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085,0.72,0.7941176470588235,0.7552447552447552,0.7552447552447552,0.7994117647058823,32
llava_1_5_7b,vp_risk_cap085,risk_visual_prompt_relative_vll,1,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085,0.7735849056603774,0.6029411764705882,0.6776859504132231,0.7272727272727273,0.7894117647058823,32
llava_1_5_7b,visual_combo_raw,risk_relative_vll,0,geo,risk_relative_vll_cost_geo+target_visual_hidden_cosine_relative_vll,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7342657342657343,0.8296078431372549,64
llava_1_5_7b,visual_combo_raw,risk_relative_vll,0,tbar,risk_relative_vll_cost_tbar+target_visual_hidden_cosine_relative_vll,0.7605633802816901,0.7941176470588235,0.7769784172661871,0.7832167832167832,0.8525490196078431,64
llava_1_5_7b,visual_combo_raw,risk_relative_vll,0,sbar,risk_relative_vll_cost_sbar+target_visual_hidden_cosine_relative_vll,0.7397260273972602,0.7941176470588235,0.7659574468085106,0.7692307692307693,0.8409803921568627,64
llava_1_5_7b,visual_combo_cap085,risk_relative_vll,1,geo,risk_relative_vll_cost_geo_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,0.704225352112676,0.7352941176470589,0.7194244604316546,0.7272727272727273,0.799607843137255,64
llava_1_5_7b,visual_combo_cap085,risk_relative_vll,1,tbar,risk_relative_vll_cost_tbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,0.6891891891891891,0.75,0.7183098591549296,0.7202797202797203,0.8170588235294117,64
llava_1_5_7b,visual_combo_cap085,risk_relative_vll,1,sbar,risk_relative_vll_cost_sbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7342657342657343,0.8188235294117646,64
llava_1_5_7b,vp_combo_raw,risk_visual_prompt_relative_vll,0,geo,risk_visual_prompt_relative_vll_cost_geo+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,0.746268656716418,0.7352941176470589,0.7407407407407407,0.7552447552447552,0.842156862745098,64
llava_1_5_7b,vp_combo_raw,risk_visual_prompt_relative_vll,0,tbar,risk_visual_prompt_relative_vll_cost_tbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,0.7313432835820896,0.7205882352941176,0.725925925925926,0.7412587412587412,0.8305882352941176,64
llava_1_5_7b,vp_combo_raw,risk_visual_prompt_relative_vll,0,sbar,risk_visual_prompt_relative_vll_cost_sbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,0.7246376811594203,0.7352941176470589,0.7299270072992701,0.7412587412587412,0.8347058823529411,64
llava_1_5_7b,vp_combo_cap085,risk_visual_prompt_relative_vll,1,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,0.7313432835820896,0.7205882352941176,0.725925925925926,0.7412587412587412,0.8229411764705882,64
llava_1_5_7b,vp_combo_cap085,risk_visual_prompt_relative_vll,1,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,0.7333333333333333,0.8088235294117647,0.7692307692307693,0.7692307692307693,0.831764705882353,64
llava_1_5_7b,vp_combo_cap085,risk_visual_prompt_relative_vll,1,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,0.7611940298507462,0.75,0.7555555555555555,0.7692307692307693,0.823529411764706,64
